epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0020000000949949026,0.1956610083580017,0.16298146545886993,0.018189357593655586,0.0136692700907588
1,0.0020000000949949026,0.06274579465389252,0.020205579698085785,0.017824726179242134,0.013303880579769611
2,0.0020000000949949026,0.06267611682415009,0.020134324207901955,0.01782088540494442,0.01330003421753645
3,0.0020000000949949026,0.06267393380403519,0.02013212814927101,0.017819738015532494,0.013298891484737396
4,0.0010000000474974513,0.06267296522855759,0.02013116329908371,0.017819197848439217,0.01329835131764412
5,0.0010000000474974513,0.06267230957746506,0.02013050951063633,0.017818624153733253,0.013297779485583305
6,0.0005000000237487257,0.06267178058624268,0.020129984244704247,0.01781831867992878,0.013297470286488533
7,0.0005000000237487257,0.06267140805721283,0.02012961357831955,0.01781800016760826,0.013297144323587418
8,0.0002500000118743628,0.06267112493515015,0.02012931928038597,0.017817821353673935,0.013296978548169136
9,0.0002500000118743628,0.06267091631889343,0.020129112526774406,0.017817646265029907,0.013296798802912235
